year,nigeria_lending_rate,south_africa_lending_rate,kenya_lending_rate,ssa_capital_cost_proxy
2000,21.274167,14.500000,22.339167,19.371111
2001,23.438333,13.770833,19.665833,18.958333
2002,24.770833,15.750000,18.453333,19.658056
2003,20.714167,14.958333,16.573333,17.415278
2004,19.180833,11.291667,12.531667,14.334722
2005,17.948333,10.625000,12.882500,13.818611
2006,16.893333,11.166667,13.635534,13.898511
2007,16.939167,13.166667,13.340344,14.482059
2008,15.135833,15.125000,14.016939,14.759258
2009,18.990833,11.708333,14.804541,15.167903
2010,17.585000,9.833333,14.371500,13.929944
2011,16.020000,9.000000,15.046760,13.355587
2012,16.791667,8.750000,19.723407,15.088358
2013,16.722500,8.500000,17.313458,14.178653
2014,16.548333,9.125000,16.513931,14.062421
2015,16.849167,9.416667,16.086614,14.117482
2016,16.868016,10.458333,16.559631,14.628660
2017,17.553333,10.375000,13.667573,13.865302
2018,16.903897,10.083333,13.060759,13.349330
2019,15.376587,10.125000,12.441133,12.647573
2020,13.642022,7.708333,11.995785,11.115380
2021,11.483133,7.041667,12.079998,10.201599
2022,12.334544,8.791667,12.335841,11.154017
2023,14.010554,11.500000,13.588502,13.033018
2024,,11.625000,16.593107,14.109054
